type,num of all,num,custom,onecustom,std,onestd
insert,5,5,15226,286,7653,415
search,5,5,5594,1118,1311,262
insert,10,10,24019,242,5837,449
search,10,10,1972,197,2262,226
insert,50,50,18215,247,27920,492
search,50,5,2766,553,1708,341
insert,100,100,30040,265,55959,637
search,100,10,4765,476,3624,362
insert,200,200,51451,383,141705,699
search,200,20,9379,468,6678,333
insert,500,500,98712,258,313128,591
search,500,50,39719,794,16038,320
insert,1000,1000,267152,265,724737,645
search,1000,100,84602,846,33609,336
insert,2000,2000,382488,246,1435636,705
search,2000,20,82325,4116,7426,371
insert,5000,5000,1277341,378,4075389,884
search,5000,50,299719,5994,22476,449
insert,10000,10000,1845176,246,8354813,852
search,10000,100,429265,4292,44003,440
insert,15000,15000,2901083,306,14100197,949
search,15000,150,842317,5615,88856,592
insert,20000,20000,3764961,301,16512540,824
search,20000,200,659116,3295,93513,467
insert,30000,30000,6008377,299,27063489,840
search,30000,300,1447936,4826,211194,703
insert,50000,50000,9176414,274,44419962,929
search,50000,500,2521345,5042,437064,874
insert,60000,60000,11700100,273,54182105,868
search,60000,600,3743664,6239,550096,916
insert,5,5,16298,247,12773,286
search,5,5,5332,1066,1263,252
insert,10,10,3036,318,5641,350
search,10,10,1826,182,2170,217
insert,50,50,12436,287,31305,364
search,50,5,2756,551,1875,375
insert,100,100,39072,332,57753,426
search,100,10,4528,452,3260,326
insert,200,200,105930,445,127054,509
search,200,20,9757,487,7595,379
insert,500,500,105473,302,334866,517
search,500,50,46636,932,16840,336
insert,1000,1000,368894,764,863148,721
search,1000,100,159454,1594,57954,579
insert,2000,2000,600712,314,1584946,652
search,2000,20,129625,6481,13498,674
insert,5000,5000,1683250,280,4293878,666
search,5000,50,299349,5986,24813,496
insert,10000,10000,1844124,238,8281346,669
search,10000,100,9246271,92462,109188,1091
insert,15000,15000,3497758,258,16508071,775
search,15000,150,1067241,7114,151445,1009
insert,20000,20000,3855326,316,17652068,752
search,20000,200,724520,3622,158018,790
insert,30000,30000,7378481,338,32762775,1070
search,30000,300,2860971,9536,272893,909
insert,50000,50000,9566840,288,46410903,785
search,50000,500,2428725,4857,400593,801
insert,60000,60000,11622618,326,55820563,767
search,60000,600,3914015,6523,499011,831
insert,5,5,21406,1600,9105,251
search,5,5,5413,1082,1446,289
insert,5,5,46926,3334,11757,305
search,5,5,9533,1906,1764,352
insert,5,5,10453,1922,9673,262
search,5,5,4933,986,1420,284
insert,10,10,8537,631,7512,464
insert,5,5,53809,5495,16179,256
search,5,5,13601,2720,2144,428
insert,5,5,13791,437,13785,501
search,5,5,5466,1093,1645,329
insert,5,5,26065,381,7451,512
insert,5,5,9494,1501,6701,250
search,5,5,4556,911,1323,264
insert,5,5,24968,1644,7107,266
insert,5,5,9623,399,8297,853
