type,num of all,num,custom,onecustom,std,onestd
insert,5,5,32375,699,7561,431
search,5,5,6947,1389,1423,284
insert,10,10,14141,1018,17129,416
search,10,10,6003,600,2659,265
insert,50,50,281470,14034,44037,462
search,50,5,55256,11051,1789,357
insert,75,75,803226,30327,66649,485
search,75,7,169428,24204,2846,406
insert,100,100,1778696,53564,81200,491
search,100,10,379341,37934,3167,316
insert,200,200,20304587,220392,250703,963
search,200,20,3290789,164539,8810,440
insert,500,500,225177144,1320870,492025,662
search,500,50,45837945,916758,21441,428
insert,750,750,809304377,3392948,773468,1016
search,750,75,148598829,1981317,30055,400
insert,1000,1000,1848538815,5247303,981823,706
search,1000,100,388457586,3884575,44744,447
insert,2000,2000,14426141817,20964355,2049288,744
search,2000,20,297783686,14889184,14089,704
insert,3000,3000,48012405189,48081591,3135616,781
search,3000,30,984427084,32814236,23389,779
